Serial,Time,Lat,Lon,Temp,Hm0,Hsig,Hmax,Tz,Tm02,Tm01,Tp,Dp,Dm,Dp_sp,Dm_sp,Qflag,Qcode,Percent,Dof
SPOT_30856C,21-Jan-2025 13:00:00, -23.47990, 152.07796, 27.69,  0.69,  0.59,  0.97,  4.20,  3.98,  5.04, 11.38, 55.67, 61.16, 23.41, 35.17,1,1,100,68 
SPOT_30856C,21-Jan-2025 13:30:00, -23.47990, 152.07803, 27.70,  0.73,  0.62,  1.05,  4.21,  4.12,  5.26, 10.24, 58.47, 59.96, 17.35, 33.96,1,1,100,68 
SPOT_30856C,21-Jan-2025 14:00:00, -23.47983, 152.07808, 27.86,  0.67,  0.59,  1.10,  4.15,  4.07,  5.11, 10.24, 57.14, 60.86, 19.04, 37.75,1,1,100,68 
SPOT_30856C,21-Jan-2025 14:30:00, -23.47977, 152.07832, 28.06,  0.70,  0.63,  1.16,  4.34,  4.14,  5.11,  9.31, 58.23, 59.97, 21.47, 33.29,1,1,100,68 
SPOT_30856C,21-Jan-2025 15:00:00, -23.47972, 152.07838, 27.99,  0.72,  0.64,  1.16,  4.40,  4.26,  5.18, 10.24, 59.72, 61.68, 20.65, 32.33,1,1,100,68 
SPOT_30856C,21-Jan-2025 15:30:00, -23.47972, 152.07840, 27.79,  0.72,  0.65,  1.21,  4.45,  4.19,  5.04, 10.24, 57.31, 60.74, 22.30, 31.32,1,1,100,68 
SPOT_30856C,21-Jan-2025 16:00:00, -23.47971, 152.07840, 27.78,  0.72,  0.63,  1.18,  4.42,  4.20,  5.14, 10.24, 56.98, 62.12, 21.70, 32.44,1,1,100,68 
SPOT_30856C,21-Jan-2025 16:30:00, -23.47967, 152.07838, 27.85,  0.70,  0.63,  1.04,  4.57,  4.11,  5.02,  9.31, 58.33, 60.37, 19.98, 32.61,1,1,100,68 
SPOT_30856C,21-Jan-2025 17:00:00, -23.47971, 152.07837, 28.05,  0.66,  0.59,  1.22,  4.26,  3.91,  4.90, 10.24, 54.37, 60.21, 24.12, 34.93,1,1,100,68 
SPOT_30856C,21-Jan-2025 17:30:00, -23.47973, 152.07841, 27.68,  0.63,  0.56,  0.96,  3.83,  3.59,  4.38, 10.24, 55.79, 58.80, 24.68, 43.62,1,1,100,68 
SPOT_30856C,21-Jan-2025 18:00:00, -23.47979, 152.07840, 27.74,  0.61,  0.52,  0.87,  3.66,  3.44,  4.18, 10.24, 55.69, 58.98, 27.93, 43.12,1,1,100,68 
SPOT_30856C,21-Jan-2025 18:30:00, -23.47978, 152.07824, 27.75,  0.59,  0.52,  0.82,  3.51,  3.28,  4.08,  9.31, 61.87, 59.74, 24.58, 40.92,1,1,100,68 
SPOT_30856C,21-Jan-2025 19:00:00, -23.48000, 152.07787, 27.74,  0.60,  0.51,  1.06,  3.47,  3.24,  4.05, 10.24, 60.59, 60.36, 26.74, 40.17,1,1,100,68 
SPOT_30856C,21-Jan-2025 19:30:00, -23.48007, 152.07777, 27.64,  0.62,  0.51,  0.95,  3.35,  3.26,  4.09, 10.24, 56.05, 56.14, 24.92, 42.30,1,1,100,68 
SPOT_30856C,21-Jan-2025 20:00:00, -23.48009, 152.07773, 27.56,  0.62,  0.54,  0.88,  3.43,  3.28,  4.11, 10.24, 54.08, 54.45, 26.18, 45.67,1,1,100,68 
SPOT_30856C,21-Jan-2025 20:30:00, -23.48012, 152.07770, 27.57,  0.67,  0.56,  1.06,  3.33,  3.25,  3.94, 10.24, 57.45, 45.95, 31.24, 49.20,1,1,100,68 
SPOT_30856C,21-Jan-2025 21:00:00, -23.48008, 152.07768, 27.57,  0.66,  0.61,  1.27,  3.21,  3.04,  3.55, 10.24, 53.22, 37.80, 33.39, 48.73,1,1,100,68 
SPOT_30856C,21-Jan-2025 21:30:00, -23.48002, 152.07765, 27.51,  0.73,  0.64,  0.97,  3.28,  3.16,  3.66,  3.01, 16.81, 35.40, 35.42, 48.24,1,1,100,68 
SPOT_30856C,21-Jan-2025 22:00:00, -23.47996, 152.07759, 27.40,  0.75,  0.65,  1.09,  3.35,  3.26,  3.84, 10.24, 56.30, 37.07, 30.21, 46.28,1,1,100,68 
SPOT_30856C,21-Jan-2025 22:30:00, -23.48013, 152.07767, 27.52,  0.71,  0.63,  1.07,  3.16,  2.98,  3.53,  9.31, 60.15, 38.19, 31.12, 52.22,1,1,100,68 
SPOT_30856C,21-Jan-2025 23:00:00, -23.48016, 152.07774, 27.44,  0.77,  0.67,  1.11,  3.23,  3.10,  3.61,  3.41, 30.04, 41.98, 43.74, 49.10,1,1,100,68 
SPOT_30856C,21-Jan-2025 23:30:00, -23.48013, 152.07774, 27.47,  0.76,  0.67,  1.12,  3.21,  3.08,  3.56,  3.53, 30.59, 38.32, 38.90, 50.15,1,1,100,68 
SPOT_30856C,22-Jan-2025 00:00:00, -23.48014, 152.07777, 27.51,  0.77,  0.70,  1.20,  3.25,  3.22,  3.82, 10.24, 48.22, 39.81, 23.04, 45.10,1,1,100,68 
SPOT_30856C,22-Jan-2025 00:30:00, -23.48015, 152.07780, 27.52,  0.74,  0.67,  1.18,  3.19,  3.05,  3.52,  3.79, 34.13, 35.15, 27.49, 45.21,1,1,100,68 
SPOT_30856C,22-Jan-2025 01:00:00, -23.48016, 152.07783, 27.53,  0.79,  0.70,  1.22,  3.26,  3.10,  3.54,  3.53, 23.22, 33.96, 33.89, 45.78,1,1,100,68 
SPOT_30856C,22-Jan-2025 01:30:00, -23.48017, 152.07798, 27.51,  0.82,  0.74,  1.24,  3.27,  3.14,  3.53,  3.79, 24.95, 30.30, 28.32, 42.60,1,1,100,68 
SPOT_30856C,22-Jan-2025 02:00:00, -23.48011, 152.07815, 27.54,  0.79,  0.73,  1.29,  3.39,  3.21,  3.68,  3.66, 26.69, 34.39, 31.32, 44.98,1,1,100,68 
SPOT_30856C,22-Jan-2025 02:30:00, -23.48010, 152.07824, 27.52,  0.75,  0.67,  1.28,  3.30,  3.22,  3.70,  3.94, 33.47, 38.32, 29.79, 44.41,1,1,100,68 
SPOT_30856C,22-Jan-2025 03:00:00, -23.48004, 152.07829, 27.50,  0.79,  0.71,  1.19,  3.38,  3.18,  3.66,  3.79, 28.91, 39.28, 26.40, 41.69,1,1,100,68 
SPOT_30856C,22-Jan-2025 03:30:00, -23.47994, 152.07838, 27.50,  0.78,  0.71,  1.29,  3.31,  3.19,  3.64,  3.94, 35.39, 37.29, 26.69, 41.50,1,1,100,68 
SPOT_30856C,22-Jan-2025 04:00:00, -23.47991, 152.07840, 27.51,  0.77,  0.70,  1.56,  3.42,  3.23,  3.69,  3.94, 29.74, 39.53, 26.88, 39.61,1,1,100,68 
SPOT_30856C,22-Jan-2025 04:30:00, -23.47994, 152.07837, 27.50,  0.74,  0.68,  1.13,  3.47,  3.22,  3.74,  4.10, 29.80, 37.35, 29.74, 41.85,1,1,100,68 
SPOT_30856C,22-Jan-2025 05:00:00, -23.47999, 152.07832, 27.48,  0.73,  0.65,  1.20,  3.48,  3.32,  3.85,  4.10, 37.51, 41.90, 25.14, 39.15,1,1,100,68 
SPOT_30856C,22-Jan-2025 05:30:00, -23.47997, 152.07823, 27.47,  0.67,  0.59,  0.93,  3.38,  3.28,  3.83,  4.10, 35.47, 41.62, 23.79, 39.04,1,1,100,68 
SPOT_30856C,22-Jan-2025 06:00:00, -23.47994, 152.07815, 27.46,  0.68,  0.59,  1.14,  3.57,  3.34,  3.95,  4.10, 37.17, 43.44, 25.49, 38.53,1,1,100,68 
SPOT_30856C,22-Jan-2025 06:30:00, -23.47996, 152.07801, 27.47,  0.67,  0.60,  1.06,  3.63,  3.43,  4.02,  4.10, 32.98, 40.43, 25.34, 38.40,1,1,100,68 
SPOT_30856C,22-Jan-2025 07:00:00, -23.47995, 152.07780, 27.48,  0.61,  0.57,  0.94,  3.65,  3.39,  4.05,  4.27, 31.43, 40.29, 26.29, 39.68,1,1,100,68 
SPOT_30856C,22-Jan-2025 07:30:00, -23.47997, 152.07776, 27.48,  0.61,  0.55,  0.90,  3.59,  3.40,  3.99,  4.27, 37.55, 38.50, 31.39, 41.99,1,1,100,68 
SPOT_30856C,22-Jan-2025 08:00:00, -23.47997, 152.07774, 27.49,  0.66,  0.58,  0.95,  3.68,  3.49,  4.05,  4.27, 19.39, 29.83, 25.61, 39.91,1,1,100,68 
SPOT_30856C,22-Jan-2025 08:30:00, -23.47994, 152.07773, 27.52,  0.64,  0.57,  1.00,  3.67,  3.49,  4.17, 11.38, 51.01, 33.67, 19.04, 42.00,1,1,100,68 
SPOT_30856C,22-Jan-2025 09:00:00, -23.47991, 152.07774, 27.56,  0.67,  0.59,  0.90,  3.67,  3.52,  4.14,  4.27, 22.09, 31.62, 32.16, 40.73,1,1,100,68 
SPOT_30856C,22-Jan-2025 09:30:00, -23.47990, 152.07776, 27.53,  0.69,  0.59,  0.89,  3.63,  3.54,  4.27, 10.24, 52.60, 33.32, 16.48, 41.52,1,1,100,68 
SPOT_30856C,22-Jan-2025 10:00:00, -23.47994, 152.07775, 27.54,  0.67,  0.60,  0.98,  3.64,  3.37,  3.90,  4.27, 16.91, 26.34, 28.22, 42.32,1,1,100,68 
SPOT_30856C,22-Jan-2025 10:30:00, -23.47994, 152.07772, 27.39,  0.65,  0.60,  1.09,  3.63,  3.32,  3.95,  4.10, 10.25, 29.34, 32.59, 44.43,1,1,100,68 
SPOT_30856C,22-Jan-2025 11:00:00, -23.47997, 152.07771, 27.38,  0.63,  0.54,  0.96,  3.44,  3.34,  4.00,  4.10, 16.38, 27.38, 29.77, 46.53,1,1,100,68 
SPOT_30856C,22-Jan-2025 11:30:00, -23.48000, 152.07773, 27.61,  0.64,  0.57,  0.99,  3.56,  3.26,  3.86,  4.10, 13.93, 25.74, 26.41, 46.35,1,1,100,68 
SPOT_30856C,22-Jan-2025 12:00:00, -23.48003, 152.07779, 27.61,  0.65,  0.56,  0.92,  3.51,  3.38,  4.11, 11.38, 46.69, 31.79, 19.96, 43.60,1,1,100,68 
SPOT_30856C,22-Jan-2025 12:30:00, -23.48000, 152.07774, 27.64,  0.64,  0.56,  1.02,  3.38,  3.20,  3.83, 10.24, 51.90, 26.47, 24.21, 46.45,1,1,100,68 
SPOT_30856C,22-Jan-2025 13:00:00, -23.48002, 152.07772, 27.76,  0.66,  0.58,  0.96,  3.55,  3.27,  3.98, 11.38, 53.03, 27.38, 20.33, 48.77,1,1,100,68 
SPOT_30856C,22-Jan-2025 13:30:00, -23.48003, 152.07778, 27.84,  0.64,  0.56,  0.87,  3.47,  3.22,  4.05, 10.24, 51.00, 28.99, 18.92, 47.90,1,1,100,68 
SPOT_30856C,22-Jan-2025 14:00:00, -23.48005, 152.07786, 27.84,  0.61,  0.53,  0.88,  3.28,  3.13,  3.81, 10.24, 57.13, 28.37, 23.25, 50.60,1,1,100,68 
SPOT_30856C,22-Jan-2025 14:30:00, -23.48008, 152.07803, 27.86,  0.61,  0.51,  1.04,  3.30,  3.16,  3.91, 10.24, 52.73, 27.81, 24.56, 50.64,1,1,100,68 
SPOT_30856C,22-Jan-2025 15:00:00, -23.48004, 152.07821, 27.92,  0.61,  0.53,  0.88,  3.20,  3.06,  3.67, 10.24, 51.65, 26.32, 24.25, 49.51,1,1,100,68 
SPOT_30856C,22-Jan-2025 15:30:00, -23.47987, 152.07833, 27.93,  0.61,  0.54,  0.89,  3.11,  2.97,  3.51, 11.38, 55.56, 27.36, 31.18, 47.04,1,1,100,68 
SPOT_30856C,22-Jan-2025 16:00:00, -23.47975, 152.07835, 28.01,  0.66,  0.57,  0.99,  3.27,  3.07,  3.67, 10.24, 50.94, 30.51, 31.91, 43.94,1,1,100,68 
SPOT_30856C,22-Jan-2025 16:30:00, -23.47969, 152.07836, 27.95,  0.65,  0.60,  1.01,  3.30,  3.10,  3.72, 11.38, 49.89, 28.86, 25.89, 43.13,1,1,100,68 
SPOT_30856C,22-Jan-2025 17:00:00, -23.47970, 152.07839, 27.99,  0.67,  0.58,  0.99,  3.17,  3.04,  3.57, 11.38, 56.12, 32.21, 29.82, 43.99,1,1,100,68 
SPOT_30856C,22-Jan-2025 17:30:00, -23.47966, 152.07840, 28.17,  0.69,  0.61,  1.07,  3.26,  3.04,  3.48, 10.24, 45.18, 28.23, 30.35, 44.05,1,1,100,68 
SPOT_30856C,22-Jan-2025 18:00:00, -23.47968, 152.07841, 27.78,  0.73,  0.66,  1.00,  3.41,  3.24,  3.77, 10.24, 46.44, 32.13, 33.87, 44.60,1,1,100,68 
SPOT_30856C,22-Jan-2025 18:30:00, -23.47966, 152.07843, 27.67,  0.87,  0.76,  1.37,  3.42,  3.35,  3.83, 10.24, 57.49, 33.32, 34.65, 49.23,1,1,100,68 
SPOT_30856C,22-Jan-2025 19:00:00, -23.47971, 152.07844, 27.73,  0.86,  0.76,  1.36,  3.34,  3.26,  3.64,  3.66, 28.14, 32.41, 39.53, 46.87,1,1,100,68 
SPOT_30856C,22-Jan-2025 19:30:00, -23.47970, 152.07843, 27.87,  0.81,  0.74,  1.28,  3.29,  3.20,  3.57,  3.79, 19.90, 29.72, 34.45, 44.82,1,1,100,68 
SPOT_30856C,22-Jan-2025 20:00:00, -23.47972, 152.07837, 27.68,  0.80,  0.73,  1.23,  3.29,  3.16,  3.53,  3.79, 20.86, 29.34, 31.40, 41.97,1,1,100,68 
SPOT_30856C,22-Jan-2025 20:30:00, -23.47984, 152.07836, 27.70,  0.79,  0.71,  1.11,  3.25,  3.19,  3.61,  4.10, 27.84, 30.34, 30.08, 43.17,1,1,100,68 
SPOT_30856C,22-Jan-2025 21:00:00, -23.47993, 152.07831, 27.71,  0.82,  0.75,  1.20,  3.33,  3.13,  3.49,  4.10, 18.56, 25.07, 27.51, 41.84,1,1,100,68 
SPOT_30856C,22-Jan-2025 21:30:00, -23.48008, 152.07810, 27.69,  0.80,  0.73,  1.18,  3.33,  3.22,  3.67,  4.10,  6.59, 17.81, 28.05, 43.46,1,1,100,68 
SPOT_30856C,22-Jan-2025 22:00:00, -23.48011, 152.07793, 27.69,  0.83,  0.77,  1.26,  3.38,  3.18,  3.57,  4.27,  4.52, 16.02, 24.50, 42.99,1,1,100,68 
SPOT_30856C,22-Jan-2025 22:30:00, -23.48005, 152.07773, 27.67,  0.88,  0.78,  1.30,  3.53,  3.34,  3.74,  3.94,  8.17, 10.79, 29.87, 41.88,1,1,100,68 
SPOT_30856C,22-Jan-2025 23:00:00, -23.48005, 152.07775, 27.63,  0.87,  0.79,  1.38,  3.41,  3.32,  3.73,  3.94,  7.17, 14.74, 27.41, 41.05,1,1,100,68 
SPOT_30856C,22-Jan-2025 23:30:00, -23.48007, 152.07775, 27.62,  0.91,  0.78,  1.39,  3.48,  3.37,  3.80,  4.45,  7.21, 12.59, 21.91, 40.68,1,1,100,68 
SPOT_30856C,23-Jan-2025 00:00:00, -23.48006, 152.07774, 27.60,  0.86,  0.79,  1.34,  3.49,  3.32,  3.75,  4.45,  2.30, 11.09, 24.11, 42.18,1,1,100,68 
SPOT_30856C,23-Jan-2025 00:30:00, -23.48010, 152.07784, 27.64,  0.88,  0.81,  1.40,  3.53,  3.28,  3.71,  4.65,358.68,  6.80, 24.98, 40.85,3,4,100,68 
SPOT_30856C,23-Jan-2025 01:00:00, -23.48014, 152.07798, 27.66,  0.82,  0.76,  1.25,  3.44,  3.23,  3.69,  4.45,359.89, 10.54, 25.82, 45.41,1,1,100,68 
SPOT_30856C,23-Jan-2025 01:30:00, -23.48012, 152.07796, 27.63,  0.81,  0.73,  1.21,  3.35,  3.21,  3.70,  4.88,  1.51, 10.41, 26.90, 47.23,3,4,100,68 
SPOT_30856C,23-Jan-2025 02:00:00, -23.48013, 152.07794, 27.62,  0.80,  0.76,  1.34,  3.48,  3.24,  3.71,  4.45, 11.86,  9.99, 28.74, 48.26,1,1,100,68 
SPOT_30856C,23-Jan-2025 02:30:00, -23.48013, 152.07799, 27.61,  0.77,  0.72,  1.14,  3.54,  3.29,  3.79,  4.45,  5.24,  9.89, 28.83, 48.60,1,1,100,68 
SPOT_30856C,23-Jan-2025 03:00:00, -23.48011, 152.07799, 27.62,  0.89,  0.80,  1.57,  3.62,  3.48,  3.98,  4.88,  6.13, 13.26, 24.06, 43.50,1,1,100,68 
SPOT_30856C,23-Jan-2025 03:30:00, -23.48001, 152.07812, 27.61,  0.86,  0.81,  1.37,  3.65,  3.41,  3.90,  5.12,  8.57, 14.23, 27.43, 43.37,1,1,100,68 
SPOT_30856C,23-Jan-2025 04:00:00, -23.47981, 152.07834, 27.61,  0.91,  0.85,  1.59,  3.70,  3.51,  3.97,  5.12, 14.06, 18.87, 24.58, 41.03,1,1,100,68 
SPOT_30856C,23-Jan-2025 04:30:00, -23.47973, 152.07837, 27.61,  0.98,  0.86,  1.48,  3.64,  3.56,  4.02,  5.12, 15.49, 18.16, 25.21, 39.62,1,1,100,68 
SPOT_30856C,23-Jan-2025 05:00:00, -23.47974, 152.07840, 27.61,  0.84,  0.78,  1.30,  3.49,  3.37,  3.87,  5.12, 20.27, 22.92, 26.10, 43.96,1,1,100,68 
SPOT_30856C,23-Jan-2025 05:30:00, -23.47971, 152.07841, 27.60,  0.83,  0.75,  1.27,  3.35,  3.21,  3.65,  4.65, 21.29, 19.75, 28.91, 44.85,1,1,100,68 
SPOT_30856C,23-Jan-2025 06:00:00, -23.47967, 152.07842, 27.57,  0.84,  0.78,  1.35,  3.49,  3.28,  3.74,  4.88, 14.18, 17.17, 28.26, 46.02,1,1,100,68 
SPOT_30856C,23-Jan-2025 06:30:00, -23.47967, 152.07844, 27.55,  0.83,  0.77,  1.17,  3.45,  3.30,  3.78,  5.12,  7.24, 16.86, 27.92, 47.57,1,1,100,68 
SPOT_30856C,23-Jan-2025 07:00:00, -23.47967, 152.07843, 27.55,  0.88,  0.80,  1.48,  3.41,  3.30,  3.76,  5.39, 14.46, 20.63, 28.34, 45.97,1,1,100,68 
SPOT_30856C,23-Jan-2025 07:30:00, -23.47972, 152.07842, 27.56,  0.76,  0.74,  1.32,  3.46,  3.16,  3.61,  4.45, 24.11, 19.80, 38.35, 47.31,1,1,100,68 
SPOT_30856C,23-Jan-2025 08:00:00, -23.47973, 152.07839, 27.55,  0.80,  0.76,  1.35,  3.47,  3.26,  3.74,  5.39, 17.59, 18.34, 30.24, 45.36,1,1,100,68 
SPOT_30856C,23-Jan-2025 08:30:00, -23.47976, 152.07837, 27.55,  0.97,  0.93,  1.60,  3.95,  3.68,  4.15,  5.39, 25.34, 20.15, 24.56, 38.93,1,1,100,68 
SPOT_30856C,23-Jan-2025 09:00:00, -23.47983, 152.07836, 27.58,  1.01,  0.92,  1.46,  3.83,  3.70,  4.12,  5.39, 16.62, 14.99, 23.92, 39.74,1,1,100,68 
SPOT_30856C,23-Jan-2025 09:30:00, -23.47990, 152.07831, 27.61,  1.00,  0.94,  1.90,  3.86,  3.76,  4.23,  5.39,  6.94,  9.00, 26.66, 41.13,1,1,100,68 
SPOT_30856C,23-Jan-2025 10:00:00, -23.47998, 152.07826, 27.63,  0.96,  0.91,  1.40,  3.95,  3.69,  4.14,  5.39,  8.37, 11.36, 28.35, 41.60,1,1,100,68 
SPOT_30856C,23-Jan-2025 10:30:00, -23.48003, 152.07819, 27.71,  0.95,  0.87,  1.73,  3.93,  3.70,  4.14,  5.12, 13.29, 11.51, 24.84, 40.42,1,1,100,68 
SPOT_30856C,23-Jan-2025 11:00:00, -23.48000, 152.07818, 27.72,  0.96,  0.83,  1.53,  3.76,  3.76,  4.21,  5.12, 16.30, 12.56, 24.93, 39.12,1,1,100,68 
SPOT_30856C,23-Jan-2025 11:30:00, -23.48002, 152.07812, 27.73,  0.85,  0.81,  1.52,  3.70,  3.51,  3.96,  5.12, 11.61,  9.74, 30.01, 43.67,1,1,100,68 
SPOT_30856C,23-Jan-2025 12:00:00, -23.48005, 152.07797, 27.77,  0.95,  0.86,  1.39,  3.89,  3.71,  4.13,  5.12,  9.53,  9.11, 21.40, 37.78,1,1,100,68 
SPOT_30856C,23-Jan-2025 12:30:00, -23.48004, 152.07795, 27.78,  0.89,  0.79,  1.54,  3.70,  3.65,  4.11,  5.39,  9.15, 11.91, 25.05, 40.41,1,1,100,68 
SPOT_30856C,23-Jan-2025 13:00:00, -23.48001, 152.07785, 27.83,  0.89,  0.81,  1.34,  3.70,  3.61,  4.05,  5.12,  6.49,  8.12, 20.32, 38.74,1,1,100,68 
SPOT_30856C,23-Jan-2025 13:30:00, -23.48000, 152.07780, 27.88,  0.83,  0.75,  1.29,  3.68,  3.51,  3.96,  5.12,  6.18, 10.19, 26.53, 41.28,1,1,100,68 
SPOT_30856C,23-Jan-2025 14:00:00, -23.48007, 152.07788, 27.87,  0.77,  0.73,  1.24,  3.53,  3.41,  3.87,  5.39,358.27,  2.30, 26.17, 44.93,3,4,100,68 
SPOT_30856C,23-Jan-2025 14:30:00, -23.48011, 152.07797, 27.94,  0.73,  0.68,  1.39,  3.48,  3.34,  3.80,  5.12,354.17,359.24, 29.65, 46.19,1,1,100,68 
SPOT_30856C,23-Jan-2025 15:00:00, -23.48001, 152.07826, 27.93,  0.72,  0.66,  1.19,  3.32,  3.16,  3.58,  5.12,  1.51,  5.89, 34.30, 45.20,3,4,100,68 
SPOT_30856C,23-Jan-2025 15:30:00, -23.47988, 152.07834, 27.92,  0.71,  0.65,  1.17,  3.11,  3.05,  3.45,  5.12,  8.85, 11.34, 29.67, 44.87,1,1,100,68 
SPOT_30856C,23-Jan-2025 16:00:00, -23.47997, 152.07833, 27.89,  0.75,  0.68,  1.15,  3.07,  2.93,  3.26,  3.53,  6.14,  9.16, 28.81, 43.43,1,1,100,68 
SPOT_30856C,23-Jan-2025 16:30:00, -23.47989, 152.07835, 27.80,  0.76,  0.69,  1.10,  3.10,  3.03,  3.37,  4.88,  2.31, 10.85, 30.19, 43.57,1,1,100,68 
SPOT_30856C,23-Jan-2025 17:00:00, -23.47984, 152.07839, 27.82,  0.85,  0.79,  1.52,  3.25,  3.15,  3.45,  3.79, 17.24, 12.08, 22.56, 40.85,1,1,100,68 
SPOT_30856C,23-Jan-2025 17:30:00, -23.47977, 152.07840, 27.73,  0.93,  0.85,  1.57,  3.21,  3.23,  3.51,  3.79, 19.08, 15.20, 25.64, 39.16,1,1,100,68 
SPOT_30856C,23-Jan-2025 18:00:00, -23.47970, 152.07843, 27.65,  0.99,  0.91,  1.73,  3.41,  3.33,  3.59,  3.79, 18.91, 18.41, 29.33, 38.82,1,1,100,68 
SPOT_30856C,23-Jan-2025 18:30:00, -23.47971, 152.07844, 27.61,  0.99,  0.92,  1.59,  3.47,  3.37,  3.64,  4.10, 17.82, 18.95, 29.26, 39.77,1,1,100,68 
SPOT_30856C,23-Jan-2025 19:00:00, -23.47970, 152.07845, 27.58,  1.07,  0.97,  1.75,  3.57,  3.52,  3.80,  3.94, 17.53, 17.92, 29.93, 38.67,1,1,100,68 
SPOT_30856C,23-Jan-2025 19:30:00, -23.47971, 152.07843, 27.55,  1.18,  1.06,  1.98,  3.63,  3.72,  4.02,  4.65, 12.20, 19.02, 24.65, 37.03,1,1,100,68 
SPOT_30856C,23-Jan-2025 20:00:00, -23.47972, 152.07843, 27.53,  1.22,  1.13,  2.07,  3.87,  3.72,  4.02,  4.65, 17.55, 20.64, 22.71, 36.57,1,1,100,68 
SPOT_30856C,23-Jan-2025 20:30:00, -23.47973, 152.07843, 27.49,  1.24,  1.16,  2.03,  3.85,  3.76,  4.06,  4.88, 14.30, 19.44, 21.27, 34.49,1,1,100,68 
SPOT_30856C,23-Jan-2025 21:00:00, -23.47976, 152.07841, 27.49,  1.26,  1.18,  2.34,  3.73,  3.81,  4.10,  4.88, 12.37, 20.39, 20.88, 32.88,1,1,100,68 
SPOT_30856C,23-Jan-2025 21:30:00, -23.47977, 152.07840, 27.58,  1.21,  1.21,  1.81,  3.92,  3.71,  4.02,  4.88, 14.12, 22.79, 26.52, 35.83,1,1,100,68 
SPOT_30856C,23-Jan-2025 22:00:00, -23.47977, 152.07840, 27.62,  1.20,  1.10,  1.71,  3.77,  3.75,  4.08,  4.45, 22.75, 26.01, 25.88, 35.09,1,1,100,68 
SPOT_30856C,23-Jan-2025 22:30:00, -23.47989, 152.07834, 27.61,  1.18,  1.04,  2.40,  3.70,  3.83,  4.19,  5.12, 21.47, 25.09, 22.96, 34.59,1,1,100,68 
SPOT_30856C,23-Jan-2025 23:00:00, -23.48006, 152.07819, 27.61,  1.21,  1.09,  1.67,  3.84,  3.74,  4.06,  4.88, 17.52, 20.24, 21.64, 34.61,1,1,100,68 
SPOT_30856C,23-Jan-2025 23:30:00, -23.48010, 152.07786, 27.59,  1.06,  1.01,  1.78,  3.77,  3.69,  4.06,  5.12,  6.46, 12.46, 25.08, 37.79,1,1,100,68 
SPOT_30856C,24-Jan-2025 00:00:00, -23.48008, 152.07770, 27.57,  1.15,  1.08,  2.03,  3.83,  3.75,  4.15,  5.12,  2.17, 11.20, 23.61, 38.57,1,1,100,68 
SPOT_30856C,24-Jan-2025 00:30:00, -23.48007, 152.07772, 27.53,  1.25,  1.18,  2.02,  3.91,  3.90,  4.27,  5.12,359.10,  5.87, 25.62, 36.77,3,4,100,68 
SPOT_30856C,24-Jan-2025 01:00:00, -23.48007, 152.07772, 27.49,  1.31,  1.17,  1.94,  4.04,  3.92,  4.28,  5.39,  0.39,  6.68, 23.74, 35.52,3,4,100,68 
SPOT_30856C,24-Jan-2025 01:30:00, -23.48008, 152.07773, 27.44,  1.22,  1.20,  2.24,  3.88,  3.80,  4.15,  4.88, 11.44,  9.23, 25.87, 39.22,1,1,100,68 
SPOT_30856C,24-Jan-2025 02:00:00, -23.48009, 152.07776, 27.39,  1.21,  1.14,  1.83,  4.04,  3.82,  4.23,  5.39,  3.76,  8.04, 31.99, 41.31,1,1,100,68 
SPOT_30856C,24-Jan-2025 02:30:00, -23.48009, 152.07776, 27.32,  1.09,  1.03,  2.08,  3.77,  3.71,  4.10,  5.39,  6.06,  8.36, 32.58, 41.67,1,1,100,68 
SPOT_30856C,24-Jan-2025 03:00:00, -23.48007, 152.07772, 27.39,  1.11,  1.03,  1.79,  3.81,  3.69,  4.09,  5.12,  8.48,  9.64, 32.97, 44.23,1,1,100,68 
SPOT_30856C,24-Jan-2025 03:30:00, -23.48009, 152.07773, 27.35,  1.11,  1.03,  1.73,  3.81,  3.75,  4.16,  5.12, 23.04, 14.76, 29.09, 42.07,1,1,100,68 
SPOT_30856C,24-Jan-2025 04:00:00, -23.48007, 152.07771, 27.34,  1.11,  0.98,  1.66,  3.83,  3.78,  4.25,  5.39, 19.80, 17.52, 29.66, 42.45,1,1,100,68 
SPOT_30856C,24-Jan-2025 04:30:00, -23.48007, 152.07773, 27.30,  1.08,  0.98,  1.91,  3.66,  3.67,  4.13,  6.02, 19.21, 19.55, 31.86, 43.89,1,1,100,68 
SPOT_30856C,24-Jan-2025 05:00:00, -23.48004, 152.07773, 27.25,  1.09,  1.03,  1.59,  3.90,  3.67,  4.11,  5.39, 22.37, 20.13, 22.49, 39.11,1,1,100,68 
SPOT_30856C,24-Jan-2025 05:30:00, -23.48007, 152.07783, 27.23,  1.22,  1.14,  1.80,  4.08,  3.89,  4.35,  5.69, 19.20, 20.13, 23.83, 38.89,1,1,100,68 
SPOT_30856C,24-Jan-2025 06:00:00, -23.48005, 152.07811, 27.30,  1.44,  1.33,  2.31,  4.17,  4.11,  4.52,  6.02, 18.97, 21.70, 22.52, 34.30,1,1,100,68 
SPOT_30856C,24-Jan-2025 06:30:00, -23.47963, 152.07840, 27.33,  1.36,  1.26,  1.98,  4.23,  4.05,  4.49,  6.02, 19.85, 21.67, 21.44, 34.34,1,1,100,68 
