lon,lat,label
151.60027,-23.99987,439914
151.66693,-23.99987,439915
151.7336,-23.99987,439916
151.80026,-23.99987,439917
151.86693,-23.99987,439918
151.9336,-23.99987,439919
152.00026,-23.99987,439920
152.06693,-23.99987,439921
152.13359,-23.99987,439922
152.20026,-23.99987,439923
152.26692,-23.99987,439924
152.33359,-23.99987,439925
152.40027,-23.99987,439926
152.46693,-23.99987,439927
152.5336,-23.99987,439928
152.60027,-23.99987,439929
152.66693,-23.99987,439930
152.7336,-23.99987,439931
152.80026,-23.99987,439932
152.86693,-23.99987,439933
152.9336,-23.99987,439934
153.00026,-23.99987,439935
151.60027,-23.933203,441040
151.66693,-23.933203,441041
151.7336,-23.933203,441042
151.80026,-23.933203,441043
151.86693,-23.933203,441044
151.9336,-23.933203,441045
152.00026,-23.933203,441046
152.06693,-23.933203,441047
152.13359,-23.933203,441048
152.20026,-23.933203,441049
152.26692,-23.933203,441050
152.33359,-23.933203,441051
152.40027,-23.933203,441052
152.46693,-23.933203,441053
152.5336,-23.933203,441054
152.60027,-23.933203,441055
152.66693,-23.933203,441056
152.7336,-23.933203,441057
152.80026,-23.933203,441058
152.86693,-23.933203,441059
152.9336,-23.933203,441060
153.00026,-23.933203,441061
151.53358,-23.866535,442165
151.60027,-23.866535,442166
151.66693,-23.866535,442167
151.7336,-23.866535,442168
151.80026,-23.866535,442169
151.86693,-23.866535,442170
151.9336,-23.866535,442171
152.00026,-23.866535,442172
152.06693,-23.866535,442173
152.13359,-23.866535,442174
152.20026,-23.866535,442175
152.26692,-23.866535,442176
152.33359,-23.866535,442177
152.40027,-23.866535,442178
152.46693,-23.866535,442179
152.5336,-23.866535,442180
152.60027,-23.866535,442181
152.66693,-23.866535,442182
152.7336,-23.866535,442183
152.80026,-23.866535,442184
152.86693,-23.866535,442185
152.9336,-23.866535,442186
151.53358,-23.79987,443291
151.60027,-23.79987,443292
151.66693,-23.79987,443293
151.7336,-23.79987,443294
151.80026,-23.79987,443295
151.86693,-23.79987,443296
151.9336,-23.79987,443297
152.00026,-23.79987,443298
152.06693,-23.79987,443299
152.13359,-23.79987,443300
152.20026,-23.79987,443301
152.26692,-23.79987,443302
152.33359,-23.79987,443303
152.40027,-23.79987,443304
152.46693,-23.79987,443305
152.5336,-23.79987,443306
152.60027,-23.79987,443307
152.66693,-23.79987,443308
152.7336,-23.79987,443309
152.80026,-23.79987,443310
152.86693,-23.79987,443311
152.9336,-23.79987,443312
151.53358,-23.733202,444417
151.60027,-23.733202,444418
151.66693,-23.733202,444419
151.7336,-23.733202,444420
151.80026,-23.733202,444421
151.86693,-23.733202,444422
151.9336,-23.733202,444423
152.00026,-23.733202,444424
152.06693,-23.733202,444425
152.13359,-23.733202,444426
152.20026,-23.733202,444427
152.26692,-23.733202,444428
152.33359,-23.733202,444429
152.40027,-23.733202,444430
152.46693,-23.733202,444431
152.5336,-23.733202,444432
152.60027,-23.733202,444433
152.66693,-23.733202,444434
152.7336,-23.733202,444435
152.80026,-23.733202,444436
152.86693,-23.733202,444437
151.46692,-23.666534,445542
151.53358,-23.666534,445543
151.60027,-23.666534,445544
151.66693,-23.666534,445545
151.7336,-23.666534,445546
151.80026,-23.666534,445547
151.86693,-23.666534,445548
151.9336,-23.666534,445549
152.00026,-23.666534,445550
152.06693,-23.666534,445551
152.13359,-23.666534,445552
152.20026,-23.666534,445553
152.26692,-23.666534,445554
152.33359,-23.666534,445555
152.40027,-23.666534,445556
152.46693,-23.666534,445557
152.5336,-23.666534,445558
152.60027,-23.666534,445559
152.66693,-23.666534,445560
152.7336,-23.666534,445561
152.80026,-23.666534,445562
151.46692,-23.599869,446668
151.53358,-23.599869,446669
151.60027,-23.599869,446670
151.66693,-23.599869,446671
151.7336,-23.599869,446672
151.80026,-23.599869,446673
151.86693,-23.599869,446674
151.9336,-23.599869,446675
152.00026,-23.599869,446676
152.06693,-23.599869,446677
152.13359,-23.599869,446678
152.20026,-23.599869,446679
152.26692,-23.599869,446680
152.33359,-23.599869,446681
152.40027,-23.599869,446682
152.46693,-23.599869,446683
152.5336,-23.599869,446684
152.60027,-23.599869,446685
152.66693,-23.599869,446686
152.7336,-23.599869,446687
152.80026,-23.599869,446688
151.40025,-23.533201,447793
151.46692,-23.533201,447794
151.53358,-23.533201,447795
151.60027,-23.533201,447796
151.66693,-23.533201,447797
151.7336,-23.533201,447798
151.80026,-23.533201,447799
151.86693,-23.533201,447800
151.9336,-23.533201,447801
152.00026,-23.533201,447802
152.06693,-23.533201,447803
152.13359,-23.533201,447804
152.20026,-23.533201,447805
152.26692,-23.533201,447806
152.33359,-23.533201,447807
152.40027,-23.533201,447808
152.46693,-23.533201,447809
152.5336,-23.533201,447810
152.60027,-23.533201,447811
152.66693,-23.533201,447812
152.7336,-23.533201,447813
151.40025,-23.466534,448919
151.46692,-23.466534,448920
151.53358,-23.466534,448921
151.60027,-23.466534,448922
151.66693,-23.466534,448923
151.7336,-23.466534,448924
151.80026,-23.466534,448925
151.86693,-23.466534,448926
151.9336,-23.466534,448927
152.00026,-23.466534,448928
152.06693,-23.466534,448929
152.13359,-23.466534,448930
152.20026,-23.466534,448931
152.26692,-23.466534,448932
152.33359,-23.466534,448933
152.40027,-23.466534,448934
152.46693,-23.466534,448935
152.5336,-23.466534,448936
152.60027,-23.466534,448937
152.66693,-23.466534,448938
152.7336,-23.466534,448939
151.40025,-23.399866,450045
151.46692,-23.399866,450046
151.53358,-23.399866,450047
151.60027,-23.399866,450048
151.66693,-23.399866,450049
151.7336,-23.399866,450050
151.80026,-23.399866,450051
151.86693,-23.399866,450052
151.9336,-23.399866,450053
152.00026,-23.399866,450054
152.06693,-23.399866,450055
152.13359,-23.399866,450056
152.20026,-23.399866,450057
152.26692,-23.399866,450058
152.33359,-23.399866,450059
152.40027,-23.399866,450060
152.46693,-23.399866,450061
152.5336,-23.399866,450062
152.60027,-23.399866,450063
152.66693,-23.399866,450064
151.33359,-23.3332,451170
151.40025,-23.3332,451171
151.46692,-23.3332,451172
151.53358,-23.3332,451173
151.60027,-23.3332,451174
151.66693,-23.3332,451175
151.7336,-23.3332,451176
151.80026,-23.3332,451177
151.86693,-23.3332,451178
151.9336,-23.3332,451179
152.00026,-23.3332,451180
152.06693,-23.3332,451181
152.13359,-23.3332,451182
152.20026,-23.3332,451183
152.26692,-23.3332,451184
152.33359,-23.3332,451185
152.40027,-23.3332,451186
152.46693,-23.3332,451187
152.5336,-23.3332,451188
152.60027,-23.3332,451189
151.33359,-23.266533,452296
151.40025,-23.266533,452297
151.46692,-23.266533,452298
151.53358,-23.266533,452299
151.60027,-23.266533,452300
151.66693,-23.266533,452301
151.7336,-23.266533,452302
151.80026,-23.266533,452303
151.86693,-23.266533,452304
151.9336,-23.266533,452305
152.00026,-23.266533,452306
152.06693,-23.266533,452307
152.13359,-23.266533,452308
152.20026,-23.266533,452309
152.26692,-23.266533,452310
152.33359,-23.266533,452311
152.40027,-23.266533,452312
152.46693,-23.266533,452313
152.5336,-23.266533,452314
152.60027,-23.266533,452315
151.33359,-23.199865,453422
151.40025,-23.199865,453423
151.46692,-23.199865,453424
151.53358,-23.199865,453425
151.60027,-23.199865,453426
151.66693,-23.199865,453427
151.7336,-23.199865,453428
151.80026,-23.199865,453429
151.86693,-23.199865,453430
151.9336,-23.199865,453431
152.00026,-23.199865,453432
152.06693,-23.199865,453433
152.13359,-23.199865,453434
152.20026,-23.199865,453435
152.26692,-23.199865,453436
152.33359,-23.199865,453437
152.40027,-23.199865,453438
152.46693,-23.199865,453439
152.5336,-23.199865,453440
151.26692,-23.1332,454547
151.33359,-23.1332,454548
151.40025,-23.1332,454549
151.46692,-23.1332,454550
151.53358,-23.1332,454551
151.60027,-23.1332,454552
151.66693,-23.1332,454553
151.7336,-23.1332,454554
151.80026,-23.1332,454555
151.86693,-23.1332,454556
151.9336,-23.1332,454557
152.00026,-23.1332,454558
152.06693,-23.1332,454559
152.13359,-23.1332,454560
152.20026,-23.1332,454561
152.26692,-23.1332,454562
152.33359,-23.1332,454563
152.40027,-23.1332,454564
152.46693,-23.1332,454565
152.5336,-23.1332,454566
151.26692,-23.066532,455673
151.33359,-23.066532,455674
151.40025,-23.066532,455675
151.46692,-23.066532,455676
151.53358,-23.066532,455677
151.60027,-23.066532,455678
151.66693,-23.066532,455679
151.7336,-23.066532,455680
151.80026,-23.066532,455681
151.86693,-23.066532,455682
151.9336,-23.066532,455683
152.00026,-23.066532,455684
152.06693,-23.066532,455685
152.13359,-23.066532,455686
152.20026,-23.066532,455687
